filename,target_captions,can_be_used_without_source,source_caption_index
MusicDelta_80sRock_MIX.wav,"A recording of a heavy metal song.",1,1
MusicDelta_80sRock_MIX.wav,"A recording of an arcade game soundtrack.",1,1
MusicDelta_80sRock_MIX.wav,"A recording of a techno song.",1,1
MusicDelta_80sRock_MIX.wav,"A recording of Arabic music.",1,1
MusicDelta_80sRock_MIX.wav,"A recording of hip hop music.",1,1
MusicDelta_80sRock_MIX.wav,"A recording of an epic soundtrack.",1,1
MusicDelta_80sRock_MIX.wav,"A woman is singing while a guitar, bass and drums playing in the background.",0,2
MusicDelta_80sRock_MIX.wav,"A violin playing while a guitar, bass and drums playing in the background.",0,2
MusicDelta_80sRock_MIX.wav,"A guitar, bass and drums playing in the background.",0,2
MusicDelta_80sRock_MIX.wav,"A saxophone playing while a guitar, bass and drums playing in the background.",0,2
MusicDelta_80sRock_MIX.wav,"A high quality recording of a rock song. a woman singing while a guitar, bass and drums playing in the background, when later a man joins.",0,3
MusicDelta_80sRock_MIX.wav,"A high quality recording of a jazz song. a saxophone playing while a guitar, bass and drums playing in the background, when later a trumpet joins.",0,3
MusicDelta_Beatles_MIX.wav,"A high quality recording of a woman singing and drums, guitar and bass playing a song, and later a man is singing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a woman is singing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a saxophone playing and drums, guitar and bass playing a song, and later a trumpet is playing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a woman is singing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a trumpet playing and drums, guitar and bass playing a song, and later a saxophone is playing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a piano playing and drums, guitar and bass playing a song, and later a violin is singing.",0,1
MusicDelta_Beatles_MIX.wav,"A high quality recording of a metal band playing a sad metal song.",1,2
MusicDelta_Beatles_MIX.wav,"A high quality recording of electronic music playing a techno song.",1,2
MusicDelta_Beatles_MIX.wav,"A high quality recording of a country band playing a happy country song.",1,2
MusicDelta_Beatles_MIX.wav,"A high quality recording of an orchestra playing an epic soundtrack.",1,2
MusicDelta_Beatles_MIX.wav,"A recording of a heavy metal song.",1,3
MusicDelta_Beatles_MIX.wav,"A recording of an arcade game soundtrack.",1,3
MusicDelta_Beatles_MIX.wav,"A recording of a dark techno song.",1,3
MusicDelta_Beatles_MIX.wav,"A recording of an epic soundtrack.",1,3
MusicDelta_Beatles_MIX.wav,"A recording of Arabic music.",1,3
MusicDelta_BebopJazz_MIX.wav,"A recording of a somber blues song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of a dark techno song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of an upbeat country song.",1,1
MusicDelta_BebopJazz_MIX.wav,"A recording of an upbeat arcade game soundtrack.",1,1
